"Geslacht","Leeftijd","Marges","Perioden","Onder- en overgewicht, 4 jaar of ouder Overgewicht (%)","Onder- en overgewicht, 4 jaar of ouder Mate van overgewicht
Matig overgewicht (%)","Mate van overgewicht Ernstig overgewicht (%)"
"Totaal mannen en vrouwen","Totaal","Waarde","1981","27,4","22,9","4,4"
"Totaal mannen en vrouwen","Totaal","Waarde","1991","30,5","25,4","5,1"
"Totaal mannen en vrouwen","Totaal","Waarde","2001","38,4","30,1","8,2"
"Totaal mannen en vrouwen","Totaal","Waarde","2006","39,8","30,0","9,8"
"Totaal mannen en vrouwen","Totaal","Waarde","2007","39,0","29,2","9,8"
"Totaal mannen en vrouwen","Totaal","Waarde","2008","40,5","30,7","9,8"
"Totaal mannen en vrouwen","Totaal","Waarde","2009","40,8","30,6","10,2"
"Totaal mannen en vrouwen","Totaal","Waarde","2010","41,7","31,9","9,8"
"Totaal mannen en vrouwen","Totaal","Waarde","2011","41,7","31,9","9,8"
"Totaal mannen en vrouwen","Totaal","Waarde","2012","41,5","31,3","10,2"
"Totaal mannen en vrouwen","Totaal","Waarde","2013","41,6","31,5","10,1"
"Totaal mannen en vrouwen","Totaal","Waarde","2014","43,1","31,5","11,7"
"Totaal mannen en vrouwen","Totaal","Waarde","2015","43,0","31,4","11,6"
"Totaal mannen en vrouwen","Totaal","Waarde","2016","43,3","31,1","12,3"
"Totaal mannen en vrouwen","Totaal","Waarde","2017","43,1","31,0","12,1"
"Totaal mannen en vrouwen","Totaal","Waarde","2018","43,9","31,0","13,0"
"Totaal mannen en vrouwen","Totaal","Waarde","2019","44,1","31,4","12,7"
"Totaal mannen en vrouwen","Totaal","Waarde","2020","44,4","32,4","12,1"
"Totaal mannen en vrouwen","Totaal","Waarde","2021","44,5","31,9","12,6"
"Totaal mannen en vrouwen","Totaal","Waarde","2022","44,5","31,2","13,3"
"Bron: CBS."
